id_cliente,fecha_emision,fecha_vencimiento,consumo_kwh,monto_total,monto_pagado,estado_pago,dias_mora
CL0029,2024-03-06,2024-04-05,642.3,116.56,66.57,Pendiente,885
CL0029,2024-04-01,2024-05-01,748.28,129.36,109.07,Pagado,0
CL0029,2024-05-08,2024-06-07,339.82,58.93,38.38,Pendiente,822
CL0029,2024-06-05,2024-07-05,363.34,73.66,66.17,Pagado,0
CL0030,2024-01-07,2024-02-06,399.97,109.94,62.06,Pendiente,944
CL0030,2024-02-07,2024-03-08,773.4,211.94,143.05,Pendiente,913
CL0030,2024-03-07,2024-04-06,480.81,143.07,117.42,Pagado,0
CL0030,2024-04-02,2024-05-02,606.78,177.62,165.49,Pagado,0
CL0030,2024-05-05,2024-06-04,310.19,96.46,81.05,Pagado,0
CL0030,2024-06-01,2024-07-01,353.77,110.73,109.32,Pagado,0
CL0031,2024-01-04,2024-02-03,663.53,182.34,161.4,Pagado,0
CL0031,2024-02-03,2024-03-04,632.28,164.71,105.31,Pendiente,917
CL0031,2024-03-05,2024-04-04,342.61,109.53,69.88,Pendiente,886
CL0031,2024-04-01,2024-05-01,484.93,146.04,145.83,Pagado,0
CL0031,2024-05-05,2024-06-04,807.61,226.95,201.65,Pagado,0
CL0031,2024-06-08,2024-07-08,464.35,121.22,64.53,Pendiente,791
CL0032,2024-01-09,2024-02-08,376.22,76.91,42.08,Pendiente,942
CL0032,2024-02-06,2024-03-07,519.87,99.37,60.24,Pendiente,914
CL0032,2024-03-05,2024-04-04,442.43,98.36,84.49,Pagado,0
CL0032,2024-04-05,2024-05-05,556.76,118.92,92.69,Pendiente,855
CL0032,2024-05-09,2024-06-08,730.28,160.46,143.99,Pagado,0
CL0032,2024-06-04,2024-07-04,714.41,140.26,97.55,Pendiente,795
CL0033,2024-01-09,2024-02-08,262.57,70.92,53.63,Pendiente,942
CL0033,2024-02-06,2024-03-07,278.01,71.64,36.6,Pendiente,914
CL0033,2024-03-02,2024-04-01,303.75,61.26,32.72,Pendiente,889
CL0033,2024-04-09,2024-05-09,621.87,138.36,81.06,Pendiente,851
CL0033,2024-05-09,2024-06-08,795.03,151.92,113.84,Pendiente,821
CL0033,2024-06-04,2024-07-04,268.41,57.08,34.83,Pendiente,795
CL0034,2024-01-04,2024-02-03,412.18,119.65,88.79,Pendiente,947
CL0034,2024-02-04,2024-03-05,760.66,215.14,138.25,Pendiente,916
CL0034,2024-03-09,2024-04-08,430.39,115.99,72.41,Pendiente,882
CL0034,2024-04-09,2024-05-09,453.53,122.23,110.95,Pagado,0
CL0034,2024-05-07,2024-06-06,486.33,147.81,135.59,Pagado,0
CL0034,2024-06-06,2024-07-06,584.47,165.23,160.54,Pagado,0
CL0035,2024-01-05,2024-02-04,745.25,169.8,121.97,Pendiente,946
CL0035,2024-02-05,2024-03-06,694.49,168.02,105.41,Pendiente,915
CL0035,2024-03-03,2024-04-02,443.98,115.29,78.31,Pendiente,888
CL0035,2024-04-03,2024-05-03,256.26,68.82,41.29,Pendiente,857
CL0035,2024-05-01,2024-05-31,488.22,127.61,90.45,Pendiente,829
CL0035,2024-06-03,2024-07-03,630.91,162.21,150.33,Pagado,0
CL0036,2024-01-06,2024-02-05,579.88,95.03,86.44,Pagado,0
CL0036,2024-02-08,2024-03-09,531.48,88.3,49.4,Pendiente,912
CL0036,2024-03-03,2024-04-02,500.33,81.9,72.33,Pagado,0
CL0036,2024-04-03,2024-05-03,873.38,155.06,91.58,Pendiente,857
CL0036,2024-05-07,2024-06-06,512.6,92.98,53.74,Pendiente,823
CL0036,2024-06-07,2024-07-07,616.49,119.2,75.34,Pendiente,792
CL0037,2024-01-02,2024-02-01,227.43,48.03,26.37,Pendiente,949
CL0037,2024-02-07,2024-03-08,468.67,107.57,67.2,Pendiente,913
CL0037,2024-03-08,2024-04-07,418.57,80.93,78.37,Pagado,0
CL0037,2024-04-02,2024-05-02,270.71,72.85,58.09,Pendiente,858
CL0037,2024-05-08,2024-06-07,725.33,156.56,126.36,Pagado,0
CL0037,2024-06-06,2024-07-06,532.83,121.32,83.54,Pendiente,793
CL0038,2024-01-05,2024-02-04,221.66,62.56,43.2,Pendiente,946
CL0038,2024-02-01,2024-03-02,333.41,74.78,47.44,Pendiente,919
CL0038,2024-03-06,2024-04-05,679.6,134.55,81.07,Pendiente,885
CL0038,2024-04-05,2024-05-05,489.82,99.56,87.14,Pagado,0
CL0038,2024-05-07,2024-06-06,205.98,56.5,30.75,Pendiente,823
CL0038,2024-06-07,2024-07-07,447.22,102.96,79.58,Pendiente,792
CL0039,2024-01-05,2024-02-04,583.48,153.02,150.59,Pagado,0
CL0039,2024-02-03,2024-03-04,542.94,146.51,107.93,Pendiente,917
CL0039,2024-03-09,2024-04-08,650.66,172.66,161.62,Pagado,0
CL0039,2024-04-09,2024-05-09,790.27,211.03,175.58,Pagado,0
CL0039,2024-05-03,2024-06-02,644.04,189.0,179.03,Pagado,0
CL0039,2024-06-06,2024-07-06,480.0,125.3,116.51,Pagado,0
CL0040,2024-01-10,2024-02-09,558.11,98.5,59.11,Pendiente,941
CL0040,2024-02-03,2024-03-04,751.39,132.83,76.84,Pendiente,917
CL0040,2024-03-06,2024-04-05,412.41,89.59,87.02,Pagado,0
CL0040,2024-04-03,2024-05-03,335.39,78.31,58.8,Pendiente,857
CL0040,2024-05-09,2024-06-08,221.15,58.84,40.31,Pendiente,821
CL0040,2024-06-03,2024-07-03,210.88,38.08,28.11,Pendiente,796
CL0041,2024-01-09,2024-02-08,380.82,70.28,46.67,Pendiente,942
CL0041,2024-02-04,2024-03-05,330.46,63.02,35.95,Pendiente,916
CL0041,2024-03-02,2024-04-01,255.08,60.0,52.39,Pagado,0
CL0041,2024-04-07,2024-05-07,597.11,101.43,90.3,Pagado,0
CL0041,2024-05-03,2024-06-02,508.72,82.28,47.97,Pendiente,827
CL0041,2024-06-06,2024-07-06,717.3,130.21,100.17,Pendiente,793
CL0042,2024-01-05,2024-02-04,288.67,57.31,52.3,Pagado,0
CL0042,2024-02-05,2024-03-06,323.16,85.05,77.9,Pagado,0
CL0042,2024-03-04,2024-04-03,265.38,74.56,61.79,Pagado,0
CL0042,2024-04-03,2024-05-03,386.05,75.99,56.2,Pendiente,857
CL0042,2024-05-05,2024-06-04,507.68,118.22,66.22,Pendiente,825
CL0042,2024-06-07,2024-07-07,605.8,120.6,87.68,Pendiente,792
CL0043,2024-01-02,2024-02-01,427.33,127.1,82.88,Pendiente,949
CL0043,2024-02-05,2024-03-06,564.33,163.14,115.78,Pendiente,915
CL0043,2024-03-05,2024-04-04,477.04,147.19,110.86,Pendiente,886
CL0043,2024-04-09,2024-05-09,761.24,207.06,189.42,Pagado,0
CL0043,2024-05-05,2024-06-04,860.4,221.56,158.08,Pendiente,825
CL0043,2024-06-06,2024-07-06,480.36,140.22,139.7,Pagado,0
CL0044,2024-01-10,2024-02-09,429.8,89.65,58.94,Pendiente,941
CL0044,2024-02-01,2024-03-02,505.96,88.97,58.44,Pendiente,919
CL0044,2024-03-02,2024-04-01,632.62,106.38,69.87,Pendiente,889
CL0044,2024-04-07,2024-05-07,732.49,134.81,116.16,Pagado,0
CL0044,2024-05-09,2024-06-08,238.93,45.2,25.07,Pendiente,821
CL0044,2024-05-31,2024-06-30,469.37,86.35,77.64,Pagado,0
CL0045,2024-01-10,2024-02-09,263.19,59.56,55.27,Pagado,0
CL0045,2024-02-08,2024-03-09,526.94,115.98,58.65,Pendiente,912
CL0045,2024-03-08,2024-04-07,304.7,84.68,81.89,Pagado,0
CL0045,2024-04-02,2024-05-02,617.12,125.73,111.16,Pagado,0
CL0045,2024-05-09,2024-06-08,300.33,63.88,48.24,Pendiente,821
CL0045,2024-06-07,2024-07-07,630.02,139.4,81.64,Pendiente,792
CL0046,2024-01-10,2024-02-09,693.78,114.8,104.08,Pagado,0
CL0046,2024-02-05,2024-03-06,578.86,94.79,63.15,Pendiente,915
CL0046,2024-03-05,2024-04-04,780.43,137.86,84.59,Pendiente,886
CL0046,2024-04-02,2024-05-02,879.33,157.43,102.32,Pendiente,858
CL0046,2024-05-07,2024-06-06,677.99,114.93,67.15,Pendiente,823
CL0046,2024-06-07,2024-07-07,739.34,120.41,107.66,Pagado,0
CL0047,2024-01-06,2024-02-05,808.54,150.55,128.11,Pagado,0
CL0047,2024-02-05,2024-03-06,347.62,75.65,68.59,Pagado,0
CL0047,2024-03-05,2024-04-04,426.69,78.09,74.25,Pagado,0
CL0047,2024-04-08,2024-05-08,784.9,130.78,127.94,Pagado,0
CL0047,2024-05-07,2024-06-06,591.85,96.96,96.27,Pagado,0
CL0047,2024-06-05,2024-07-05,650.82,123.34,98.69,Pagado,0
CL0048,2024-01-02,2024-02-01,437.19,106.51,82.03,Pendiente,949
CL0048,2024-02-06,2024-03-07,463.88,98.46,76.25,Pendiente,914
CL0048,2024-03-04,2024-04-03,529.32,115.99,63.45,Pendiente,887
CL0048,2024-04-01,2024-05-01,765.77,146.74,118.29,Pagado,0
CL0048,2024-05-05,2024-06-04,764.36,153.71,100.94,Pendiente,825
CL0048,2024-06-03,2024-07-03,262.49,66.46,56.87,Pagado,0
CL0049,2024-01-05,2024-02-04,556.11,125.29,123.79,Pagado,0
CL0049,2024-02-03,2024-03-04,458.58,98.4,70.03,Pendiente,917
CL0049,2024-03-07,2024-04-06,414.19,86.84,69.42,Pendiente,884
CL0049,2024-04-03,2024-05-03,618.13,124.97,70.39,Pendiente,857
CL0049,2024-05-07,2024-06-06,345.57,69.64,38.34,Pendiente,823
CL0049,2024-05-31,2024-06-30,684.3,129.37,67.44,Pendiente,799
CL0050,2024-01-05,2024-02-04,565.48,114.02,101.46,Pagado,0
CL0050,2024-02-06,2024-03-07,561.88,115.93,98.05,Pagado,0
CL0050,2024-03-03,2024-04-02,876.89,181.82,161.91,Pagado,0
CL0050,2024-04-08,2024-05-08,458.46,101.27,68.01,Pendiente,852
CL0050,2024-05-02,2024-06-01,285.21,61.27,38.92,Pendiente,828
CL0050,2024-06-03,2024-07-03,598.78,129.24,126.41,Pagado,0
CL0051,2024-01-10,2024-02-09,642.01,152.75,90.23,Pendiente,941
CL0051,2024-02-01,2024-03-02,771.22,193.17,192.16,Pagado,0
CL0051,2024-03-08,2024-04-07,281.04,86.01,55.0,Pendiente,883
CL0051,2024-04-01,2024-05-01,231.21,75.47,48.25,Pendiente,859
CL0051,2024-05-01,2024-05-31,621.86,163.74,92.2,Pendiente,829
CL0051,2024-05-31,2024-06-30,506.33,127.27,92.75,Pendiente,799
CL0052,2024-01-06,2024-02-05,357.82,78.64,52.53,Pendiente,945
CL0052,2024-02-02,2024-03-03,726.08,155.7,130.39,Pagado,0
CL0052,2024-03-10,2024-04-09,346.36,76.88,69.58,Pagado,0
CL0052,2024-04-08,2024-05-08,467.9,103.22,84.55,Pagado,0
CL0052,2024-05-07,2024-06-06,313.19,72.33,65.39,Pagado,0
CL0052,2024-06-01,2024-07-01,859.36,178.5,116.67,Pendiente,798
CL0053,2024-01-07,2024-02-06,813.23,221.31,156.51,Pendiente,944
CL0053,2024-02-07,2024-03-08,236.37,86.84,55.29,Pendiente,913
CL0053,2024-03-08,2024-04-07,571.56,156.44,132.7,Pagado,0
CL0053,2024-04-01,2024-05-01,272.88,93.12,50.64,Pendiente,859
CL0053,2024-05-09,2024-06-08,577.74,158.35,111.44,Pendiente,821
CL0053,2024-06-06,2024-07-06,371.26,120.2,67.28,Pendiente,793
CL0054,2024-01-09,2024-02-08,706.86,183.24,100.1,Pendiente,942
CL0054,2024-02-03,2024-03-04,311.97,89.69,52.81,Pendiente,917
CL0054,2024-03-04,2024-04-03,422.44,117.36,80.36,Pendiente,887
CL0054,2024-04-04,2024-05-04,675.06,180.51,118.95,Pendiente,856
CL0054,2024-05-07,2024-06-06,667.86,192.26,189.19,Pagado,0
CL0054,2024-06-08,2024-07-08,429.52,135.13,115.53,Pagado,0
CL0055,2024-01-05,2024-02-04,326.76,72.04,43.24,Pendiente,946
CL0055,2024-02-09,2024-03-10,509.03,82.5,66.53,Pagado,0
CL0055,2024-03-06,2024-04-05,891.86,143.02,99.32,Pendiente,885
CL0055,2024-04-08,2024-05-08,588.84,111.44,110.34,Pagado,0
CL0055,2024-05-09,2024-06-08,320.38,58.87,54.73,Pagado,0
CL0055,2024-05-31,2024-06-30,597.6,97.07,55.65,Pendiente,799
CL0056,2024-01-04,2024-02-03,484.53,142.78,92.72,Pendiente,947
CL0056,2024-02-07,2024-03-08,678.48,179.63,128.03,Pendiente,913
CL0056,2024-03-06,2024-04-05,555.16,150.99,83.27,Pendiente,885
CL0056,2024-04-05,2024-05-05,337.3,111.79,100.34,Pagado,0
CL0056,2024-05-01,2024-05-31,733.97,207.01,110.6,Pendiente,829
CL0056,2024-06-06,2024-07-06,188.6,56.63,32.58,Pendiente,793
CL0057,2024-01-02,2024-02-01,268.84,95.09,53.21,Pendiente,949
CL0057,2024-02-03,2024-03-04,344.83,96.64,53.67,Pendiente,917
CL0057,2024-03-03,2024-04-02,237.69,74.49,37.65,Pendiente,888
CL0057,2024-04-09,2024-05-09,261.0,85.79,58.77,Pendiente,851
CL0057,2024-05-02,2024-06-01,229.59,71.55,41.01,Pendiente,828
CL0057,2024-06-04,2024-07-04,534.39,146.04,104.99,Pendiente,795
CL0058,2024-01-07,2024-02-06,605.05,179.99,158.84,Pagado,0
CL0058,2024-02-06,2024-03-07,821.07,227.81,127.91,Pendiente,914
CL0058,2024-03-03,2024-04-02,411.61,123.37,72.12,Pendiente,888
CL0058,2024-04-05,2024-05-05,227.37,74.03,53.21,Pendiente,855
CL0058,2024-05-01,2024-05-31,536.55,149.58,116.05,Pendiente,829
CL0058,2024-06-06,2024-07-06,604.09,168.84,110.07,Pendiente,793
CL0059,2024-01-07,2024-02-06,761.08,128.3,98.67,Pendiente,944
CL0059,2024-02-07,2024-03-08,209.03,51.99,42.72,Pagado,0
CL0059,2024-03-05,2024-04-04,785.25,127.81,104.86,Pagado,0
CL0059,2024-04-06,2024-05-06,801.36,150.03,127.11,Pagado,0
CL0059,2024-05-09,2024-06-08,324.63,67.32,49.88,Pendiente,821
CL0059,2024-06-06,2024-07-06,455.47,92.85,82.91,Pagado,0
CL0060,2024-01-10,2024-02-09,313.23,61.22,53.73,Pagado,0
CL0060,2024-02-04,2024-03-05,183.51,45.52,33.14,Pendiente,916
CL0060,2024-03-10,2024-04-09,503.43,102.9,100.53,Pagado,0
CL0060,2024-04-01,2024-05-01,610.57,111.05,81.08,Pendiente,859
CL0060,2024-05-09,2024-06-08,297.42,64.18,49.78,Pendiente,821
CL0060,2024-06-02,2024-07-02,850.5,147.23,84.7,Pendiente,797
