id_cliente,tiene_hurto,tipo_hurto,es_zona_riesgo,es_reincidente
CL-00150,False,,True,False
CL-00151,False,,True,False
CL-00152,False,,True,False
CL-00153,False,,False,False
CL-00154,False,,False,False
CL-00155,False,,False,False
CL-00156,False,,False,False
CL-00157,False,,False,False
CL-00158,False,,False,False
CL-00159,False,,False,True
CL-00160,False,,True,False
CL-00161,False,,False,False
CL-00162,False,,True,False
CL-00163,False,,False,False
CL-00164,True,Bypass,False,False
CL-00165,False,,True,False
CL-00166,False,,False,False
CL-00167,False,,True,False
CL-00168,True,Manipulación Medidor,True,False
CL-00169,True,Bypass,False,False
CL-00170,False,,True,False
CL-00171,False,,False,False
CL-00172,True,Manipulación Medidor,True,True
CL-00173,False,,False,False
CL-00174,False,,False,False
CL-00175,False,,True,False
CL-00176,False,,False,False
CL-00177,False,,False,False
CL-00178,False,,False,False
CL-00179,False,,False,False
CL-00180,False,,False,False
CL-00181,False,,False,True
CL-00182,False,,False,False
CL-00183,True,Cable Rajado,True,False
CL-00184,True,Conexión Clandestina,True,False
CL-00185,True,Bypass,True,False
CL-00186,False,,False,False
CL-00187,False,,False,False
CL-00188,False,,False,False
CL-00189,False,,False,False
CL-00190,False,,False,False
CL-00191,False,,True,False
CL-00192,False,,False,False
CL-00193,False,,False,False
CL-00194,False,,True,False
CL-00195,False,,False,False
CL-00196,False,,False,False
CL-00197,False,,False,False
CL-00198,False,,False,False
CL-00199,False,,True,False
CL-00200,True,Bypass,True,False
