id_cliente,fecha,consumo_kwh,tipo_lectura
CL0001,2024-04-05,35.28,Real
CL0001,2024-04-06,31.13,Estimada
CL0001,2024-04-07,18.74,Real
CL0001,2024-04-08,42.47,Real
CL0001,2024-04-09,27.65,Real
CL0001,2024-04-10,28.62,Estimada
CL0001,2024-04-11,39.52,Real
CL0001,2024-04-12,45.94,Real
CL0001,2024-04-13,19.81,Real
CL0001,2024-04-14,22.68,Real
CL0001,2024-04-15,25.12,Real
CL0001,2024-04-16,39.02,Real
CL0001,2024-04-17,39.01,Real
CL0001,2024-04-18,45.08,Real
CL0001,2024-04-19,30.02,Real
CL0001,2024-04-20,30.84,Real
CL0001,2024-04-21,25.45,Real
CL0001,2024-04-22,33.92,Real
CL0001,2024-04-23,25.72,Real
CL0001,2024-04-24,37.4,Real
CL0001,2024-04-25,50.55,Real
CL0001,2024-04-26,39.34,Real
CL0001,2024-04-27,32.94,Real
CL0001,2024-04-28,22.83,Real
CL0001,2024-04-29,44.55,Real
CL0001,2024-04-30,41.29,Real
CL0001,2024-05-01,35.07,Real
CL0001,2024-05-02,39.97,Real
CL0001,2024-05-03,50.09,Real
CL0001,2024-05-04,28.82,Real
CL0001,2024-05-05,27.63,Real
CL0001,2024-05-06,54.45,Real
CL0001,2024-05-07,48.64,Real
CL0001,2024-05-08,41.66,Real
CL0001,2024-05-09,52.59,Real
CL0001,2024-05-10,46.98,Real
CL0001,2024-05-11,31.81,Real
CL0001,2024-05-12,12.86,Real
CL0001,2024-05-13,23.52,Real
CL0001,2024-05-14,48.55,Real
CL0001,2024-05-15,39.44,Real
CL0001,2024-05-16,47.17,Real
CL0001,2024-05-17,50.79,Real
CL0001,2024-05-18,26.5,Real
CL0001,2024-05-19,34.96,Real
CL0001,2024-05-20,46.93,Real
CL0001,2024-05-21,24.35,Real
CL0001,2024-05-22,46.07,Real
CL0001,2024-05-23,45.22,Real
CL0001,2024-05-24,35.63,Real
CL0001,2024-05-25,25.46,Real
CL0001,2024-05-26,16.17,Real
CL0001,2024-05-27,47.72,Real
CL0001,2024-05-28,40.0,Real
CL0001,2024-05-29,40.89,Real
CL0001,2024-05-30,52.91,Real
CL0001,2024-05-31,32.84,Real
CL0001,2024-06-01,24.42,Real
CL0001,2024-06-02,48.12,Real
CL0001,2024-06-03,62.02,Estimada
CL0001,2024-06-04,53.96,Real
CL0001,2024-06-05,41.59,Real
CL0001,2024-06-06,42.02,Real
CL0001,2024-06-07,57.74,Real
CL0001,2024-06-08,34.01,Real
CL0001,2024-06-09,44.77,Estimada
CL0001,2024-06-10,31.27,Real
CL0001,2024-06-11,48.33,Real
CL0001,2024-06-12,57.12,Real
CL0001,2024-06-13,45.52,Real
CL0001,2024-06-14,58.48,Estimada
CL0001,2024-06-15,39.05,Real
CL0001,2024-06-16,36.54,Real
CL0001,2024-06-17,61.07,Estimada
CL0001,2024-06-18,59.58,Real
CL0001,2024-06-19,58.15,Real
CL0001,2024-06-20,52.7,Real
CL0001,2024-06-21,46.87,Real
CL0001,2024-06-22,35.93,Real
CL0001,2024-06-23,29.62,Real
CL0001,2024-06-24,55.57,Real
CL0001,2024-06-25,59.57,Real
CL0001,2024-06-26,52.15,Real
CL0001,2024-06-27,47.51,Real
CL0001,2024-06-28,45.94,Real
CL0002,2024-01-01,39.47,Real
CL0002,2024-01-02,17.56,Real
CL0002,2024-01-03,33.16,Real
CL0002,2024-01-04,29.48,Real
CL0002,2024-01-05,30.5,Real
CL0002,2024-01-06,24.13,Real
CL0002,2024-01-07,22.69,Real
CL0002,2024-01-08,25.58,Estimada
CL0002,2024-01-09,29.75,Real
CL0002,2024-01-10,35.27,Real
CL0002,2024-01-11,48.2,Real
CL0002,2024-01-12,40.98,Real
CL0002,2024-01-13,12.32,Real
CL0002,2024-01-14,7.94,Real
CL0002,2024-01-15,37.41,Real
CL0002,2024-01-16,38.5,Real
CL0002,2024-01-17,29.97,Real
CL0002,2024-01-18,43.19,Real
CL0002,2024-01-19,20.21,Real
CL0002,2024-01-20,26.55,Real
CL0002,2024-01-21,23.0,Real
CL0002,2024-01-22,37.89,Real
CL0002,2024-01-23,40.54,Real
CL0002,2024-01-24,32.36,Estimada
CL0002,2024-01-25,27.38,Real
CL0002,2024-01-26,16.1,Real
CL0002,2024-01-27,23.7,Real
CL0002,2024-01-28,25.96,Real
CL0002,2024-01-29,30.34,Real
CL0002,2024-01-30,40.05,Real
CL0002,2024-01-31,42.7,Real
CL0002,2024-02-01,28.79,Real
CL0002,2024-02-02,25.66,Real
CL0002,2024-02-03,24.54,Real
CL0002,2024-02-04,23.2,Real
CL0002,2024-02-05,20.04,Real
CL0002,2024-02-06,30.92,Real
CL0002,2024-02-07,31.75,Real
CL0002,2024-02-08,32.78,Estimada
CL0002,2024-02-09,17.86,Estimada
CL0002,2024-02-10,9.15,Real
CL0002,2024-02-11,18.71,Real
CL0002,2024-02-12,30.17,Real
CL0002,2024-02-13,18.78,Estimada
CL0002,2024-02-14,41.83,Real
CL0002,2024-02-15,20.92,Real
CL0002,2024-02-16,14.92,Real
CL0002,2024-02-17,24.22,Real
CL0002,2024-02-18,16.52,Real
CL0002,2024-02-19,22.47,Real
CL0002,2024-02-20,8.59,Real
CL0002,2024-02-21,13.21,Real
CL0002,2024-02-22,46.38,Real
CL0002,2024-02-23,13.59,Estimada
CL0002,2024-02-24,27.25,Real
CL0002,2024-02-25,15.56,Real
CL0002,2024-02-26,27.67,Real
CL0002,2024-02-27,33.34,Real
CL0002,2024-02-28,28.47,Real
CL0002,2024-02-29,29.7,Real
CL0002,2024-03-01,33.39,Real
CL0002,2024-03-02,21.44,Real
CL0002,2024-03-03,19.79,Real
CL0002,2024-03-04,27.12,Real
CL0002,2024-03-05,31.26,Real
CL0002,2024-03-06,39.31,Real
CL0002,2024-03-07,30.84,Estimada
CL0002,2024-03-08,25.38,Real
CL0002,2024-03-09,33.93,Real
CL0002,2024-03-10,16.55,Real
CL0002,2024-03-11,19.26,Real
CL0002,2024-03-12,22.91,Real
CL0002,2024-03-13,26.75,Real
CL0002,2024-03-14,18.71,Real
CL0002,2024-03-15,27.23,Real
CL0002,2024-03-16,20.48,Real
CL0002,2024-03-17,24.8,Real
CL0002,2024-03-18,16.24,Real
CL0002,2024-03-19,24.52,Real
CL0002,2024-03-20,28.73,Estimada
CL0002,2024-03-21,36.01,Real
CL0002,2024-03-22,29.29,Real
CL0002,2024-03-23,18.05,Real
CL0002,2024-03-24,10.61,Real
CL0002,2024-03-25,20.87,Real
CL0002,2024-03-26,12.37,Real
CL0002,2024-03-27,26.07,Real
CL0002,2024-03-28,11.84,Real
CL0002,2024-03-29,24.05,Real
CL0002,2024-03-30,35.97,Real
CL0002,2024-03-31,7.68,Real
CL0002,2024-04-01,23.57,Estimada
CL0002,2024-04-02,15.94,Real
CL0002,2024-04-03,28.22,Real
CL0002,2024-04-04,38.59,Real
CL0002,2024-04-05,27.5,Real
CL0002,2024-04-06,21.3,Real
CL0002,2024-04-07,22.77,Real
CL0002,2024-04-08,16.34,Real
CL0002,2024-04-09,20.51,Real
CL0002,2024-04-10,10.83,Real
CL0002,2024-04-11,36.18,Real
CL0002,2024-04-12,27.81,Real
CL0002,2024-04-13,36.37,Estimada
CL0002,2024-04-14,18.99,Real
CL0002,2024-04-15,24.58,Real
CL0002,2024-04-16,31.09,Real
CL0002,2024-04-17,33.87,Real
CL0002,2024-04-18,31.51,Real
CL0002,2024-04-19,29.7,Real
CL0002,2024-04-20,12.51,Real
CL0002,2024-04-21,21.76,Real
CL0002,2024-04-22,27.64,Estimada
CL0002,2024-04-23,28.24,Real
CL0002,2024-04-24,35.19,Estimada
CL0002,2024-04-25,19.81,Real
CL0002,2024-04-26,28.81,Real
CL0002,2024-04-27,30.27,Real
CL0002,2024-04-28,7.49,Real
CL0002,2024-04-29,29.91,Real
CL0002,2024-04-30,24.27,Real
CL0002,2024-05-01,37.56,Real
CL0002,2024-05-02,40.36,Estimada
CL0002,2024-05-03,37.73,Real
CL0002,2024-05-04,20.99,Real
CL0002,2024-05-05,34.03,Real
CL0002,2024-05-06,34.17,Real
CL0002,2024-05-07,39.34,Real
CL0002,2024-05-08,17.85,Real
CL0002,2024-05-09,23.95,Real
CL0002,2024-05-10,41.0,Real
CL0002,2024-05-11,31.46,Real
CL0002,2024-05-12,34.68,Real
CL0002,2024-05-13,19.85,Estimada
CL0002,2024-05-14,39.56,Estimada
CL0002,2024-05-15,22.98,Real
CL0002,2024-05-16,35.34,Real
CL0002,2024-05-17,33.11,Real
CL0002,2024-05-18,20.18,Real
CL0002,2024-05-19,14.11,Real
CL0002,2024-05-20,35.61,Real
CL0002,2024-05-21,23.17,Real
CL0002,2024-05-22,40.98,Estimada
CL0002,2024-05-23,31.08,Real
CL0002,2024-05-24,38.68,Estimada
CL0002,2024-05-25,20.3,Real
CL0002,2024-05-26,34.39,Real
CL0002,2024-05-27,32.45,Real
CL0002,2024-05-28,7.48,Real
CL0002,2024-05-29,35.15,Real
CL0002,2024-05-30,35.84,Real
CL0002,2024-05-31,34.95,Real
CL0002,2024-06-01,30.52,Real
CL0002,2024-06-02,29.41,Real
CL0002,2024-06-03,47.37,Real
CL0002,2024-06-04,50.03,Real
CL0002,2024-06-05,32.7,Real
CL0002,2024-06-06,51.36,Real
CL0002,2024-06-07,40.66,Real
CL0002,2024-06-08,25.07,Estimada
CL0002,2024-06-09,35.71,Real
CL0002,2024-06-10,33.09,Real
CL0002,2024-06-11,39.87,Real
CL0002,2024-06-12,49.51,Estimada
CL0002,2024-06-13,46.17,Real
CL0002,2024-06-14,39.95,Real
CL0002,2024-06-15,34.61,Real
CL0002,2024-06-16,25.87,Real
CL0002,2024-06-17,38.39,Real
CL0002,2024-06-18,40.2,Real
CL0002,2024-06-19,23.43,Real
CL0002,2024-06-20,40.15,Real
CL0002,2024-06-21,45.2,Real
CL0002,2024-06-22,24.46,Real
CL0002,2024-06-23,25.32,Real
CL0002,2024-06-24,34.49,Real
CL0002,2024-06-25,45.97,Real
CL0002,2024-06-26,30.05,Real
CL0002,2024-06-27,41.68,Real
CL0002,2024-06-28,31.56,Real
CL0003,2024-01-01,9.41,Real
CL0003,2024-01-02,18.03,Real
CL0003,2024-01-03,14.32,Estimada
CL0003,2024-01-04,11.78,Real
CL0003,2024-01-05,10.97,Estimada
CL0003,2024-01-06,21.08,Real
CL0003,2024-01-07,13.54,Real
CL0003,2024-01-08,11.25,Real
CL0003,2024-01-09,13.57,Real
CL0003,2024-01-10,14.03,Estimada
CL0003,2024-01-11,12.1,Estimada
CL0003,2024-01-12,14.45,Real
CL0003,2024-01-13,15.64,Real
CL0003,2024-01-14,20.17,Real
CL0003,2024-01-15,10.36,Real
CL0003,2024-01-16,8.23,Real
CL0003,2024-01-17,13.88,Real
CL0003,2024-01-18,11.51,Real
CL0003,2024-01-19,22.42,Real
CL0003,2024-01-20,27.23,Real
CL0003,2024-01-21,26.53,Real
CL0003,2024-01-22,19.52,Estimada
CL0003,2024-01-23,16.14,Real
CL0003,2024-01-24,14.77,Real
CL0003,2024-01-25,10.64,Real
CL0003,2024-01-26,15.2,Real
CL0003,2024-01-27,17.45,Real
CL0003,2024-01-28,23.4,Real
CL0003,2024-01-29,10.68,Real
CL0003,2024-01-30,15.19,Real
CL0003,2024-01-31,18.0,Real
CL0003,2024-02-01,13.79,Real
CL0003,2024-02-02,14.45,Real
CL0003,2024-02-03,17.54,Estimada
CL0003,2024-02-04,16.47,Real
CL0003,2024-02-05,12.75,Real
CL0003,2024-02-06,12.31,Real
CL0003,2024-02-07,6.81,Real
CL0003,2024-02-08,17.14,Real
CL0003,2024-02-09,4.74,Estimada
CL0003,2024-02-10,15.76,Real
CL0003,2024-02-11,14.59,Real
CL0003,2024-02-12,9.63,Real
CL0003,2024-02-13,13.58,Real
CL0003,2024-02-14,17.21,Estimada
CL0003,2024-02-15,15.45,Real
CL0003,2024-02-16,16.74,Real
CL0003,2024-02-17,16.82,Real
CL0003,2024-02-18,22.4,Real
CL0003,2024-02-19,10.44,Real
CL0003,2024-02-20,5.08,Real
CL0003,2024-02-21,15.27,Real
CL0003,2024-02-22,8.4,Estimada
CL0003,2024-02-23,10.48,Estimada
CL0003,2024-02-24,20.51,Estimada
CL0003,2024-02-25,11.99,Real
CL0003,2024-02-26,15.14,Real
CL0003,2024-02-27,9.2,Real
CL0003,2024-02-28,5.95,Estimada
CL0003,2024-02-29,11.05,Real
CL0003,2024-03-01,10.14,Real
CL0003,2024-03-02,11.54,Estimada
CL0003,2024-03-03,19.05,Real
CL0003,2024-03-04,8.55,Real
CL0003,2024-03-05,1.8,Real
CL0003,2024-03-06,19.99,Real
CL0003,2024-03-07,18.01,Real
CL0003,2024-03-08,14.26,Real
CL0003,2024-03-09,15.0,Real
CL0003,2024-03-10,11.34,Real
CL0003,2024-03-11,11.66,Real
CL0003,2024-03-12,9.37,Real
CL0003,2024-03-13,16.19,Real
CL0003,2024-03-14,13.3,Real
CL0003,2024-03-15,6.52,Real
CL0003,2024-03-16,9.13,Estimada
CL0003,2024-03-17,16.46,Real
CL0003,2024-03-18,15.11,Real
CL0003,2024-03-19,15.26,Real
CL0003,2024-03-20,8.12,Real
CL0003,2024-03-21,11.5,Real
CL0003,2024-03-22,4.26,Real
CL0003,2024-03-23,10.66,Real
CL0003,2024-03-24,16.88,Real
CL0003,2024-03-25,18.96,Real
CL0003,2024-03-26,19.83,Estimada
CL0003,2024-03-27,11.14,Real
CL0003,2024-03-28,13.05,Real
CL0003,2024-03-29,11.26,Estimada
CL0003,2024-03-30,16.11,Real
CL0003,2024-03-31,11.89,Real
CL0003,2024-04-01,13.5,Real
CL0003,2024-04-02,12.39,Estimada
CL0003,2024-04-03,11.93,Real
CL0003,2024-04-04,12.33,Real
CL0003,2024-04-05,14.82,Estimada
CL0003,2024-04-06,24.34,Real
CL0003,2024-04-07,8.44,Real
CL0003,2024-04-08,3.89,Real
CL0003,2024-04-09,2.75,Real
CL0003,2024-04-10,22.93,Estimada
CL0003,2024-04-11,16.05,Real
CL0003,2024-04-12,12.28,Real
CL0003,2024-04-13,17.59,Real
CL0003,2024-04-14,17.24,Real
CL0003,2024-04-15,10.88,Estimada
CL0003,2024-04-16,15.95,Real
CL0003,2024-04-17,14.68,Real
CL0003,2024-04-18,4.23,Real
CL0003,2024-04-19,9.46,Real
CL0003,2024-04-20,23.82,Real
CL0003,2024-04-21,16.57,Real
CL0003,2024-04-22,9.56,Real
CL0003,2024-04-23,13.07,Real
CL0003,2024-04-24,6.61,Real
CL0003,2024-04-25,12.96,Real
CL0003,2024-04-26,13.54,Real
CL0003,2024-04-27,11.39,Estimada
CL0003,2024-04-28,19.44,Real
CL0003,2024-04-29,7.48,Real
CL0003,2024-04-30,10.21,Real
CL0003,2024-05-01,18.85,Real
CL0003,2024-05-02,13.43,Real
CL0003,2024-05-03,19.63,Estimada
CL0003,2024-05-04,20.09,Real
CL0003,2024-05-05,24.02,Estimada
CL0003,2024-05-06,15.38,Estimada
CL0003,2024-05-07,9.69,Real
CL0003,2024-05-08,1.21,Real
CL0003,2024-05-09,14.68,Real
CL0003,2024-05-10,11.72,Real
CL0003,2024-05-11,20.69,Real
CL0003,2024-05-12,23.64,Real
CL0003,2024-05-13,11.82,Real
CL0003,2024-05-14,11.65,Real
CL0003,2024-05-15,8.01,Real
CL0003,2024-05-16,17.94,Real
CL0003,2024-05-17,4.73,Real
CL0003,2024-05-18,18.17,Real
CL0003,2024-05-19,21.51,Real
CL0003,2024-05-20,14.24,Real
CL0003,2024-05-21,10.03,Estimada
CL0003,2024-05-22,11.66,Real
CL0003,2024-05-23,13.97,Real
CL0003,2024-05-24,22.73,Real
CL0003,2024-05-25,15.21,Real
CL0003,2024-05-26,21.38,Real
CL0003,2024-05-27,10.04,Real
CL0003,2024-05-28,10.76,Real
CL0003,2024-05-29,20.24,Real
CL0003,2024-05-30,7.04,Real
CL0003,2024-05-31,14.81,Real
CL0003,2024-06-01,24.56,Estimada
CL0003,2024-06-02,20.61,Real
CL0003,2024-06-03,18.54,Real
CL0003,2024-06-04,21.56,Real
CL0003,2024-06-05,16.99,Real
CL0003,2024-06-06,16.93,Real
CL0003,2024-06-07,14.46,Real
CL0003,2024-06-08,20.55,Real
CL0003,2024-06-09,22.34,Real
CL0003,2024-06-10,19.57,Real
CL0003,2024-06-11,23.75,Real
CL0003,2024-06-12,14.27,Real
CL0003,2024-06-13,14.25,Real
CL0003,2024-06-14,12.82,Real
CL0003,2024-06-15,25.43,Real
CL0003,2024-06-16,27.39,Real
CL0003,2024-06-17,15.88,Real
CL0003,2024-06-18,20.2,Real
CL0003,2024-06-19,18.29,Real
CL0003,2024-06-20,11.24,Real
CL0003,2024-06-21,13.59,Real
CL0003,2024-06-22,28.15,Real
CL0003,2024-06-23,14.38,Real
CL0003,2024-06-24,19.13,Real
CL0003,2024-06-25,18.85,Real
CL0003,2024-06-26,19.37,Real
CL0003,2024-06-27,14.2,Real
CL0003,2024-06-28,17.28,Real
CL0004,2024-01-01,58.01,Real
CL0004,2024-01-02,51.01,Real
CL0004,2024-01-03,43.19,Estimada
CL0004,2024-01-04,74.69,Real
CL0004,2024-01-05,69.66,Real
CL0004,2024-01-06,46.24,Real
CL0004,2024-01-07,51.23,Real
CL0004,2024-01-08,72.59,Real
CL0004,2024-01-09,90.58,Real
CL0004,2024-01-10,50.52,Real
CL0004,2024-01-11,78.8,Real
CL0004,2024-01-12,74.22,Real
CL0004,2024-01-13,28.12,Real
CL0004,2024-01-14,38.6,Real
CL0004,2024-01-15,57.31,Real
CL0004,2024-01-16,58.7,Real
CL0004,2024-01-17,56.86,Real
CL0004,2024-01-18,42.11,Real
CL0004,2024-01-19,41.44,Real
CL0004,2024-01-20,44.51,Real
CL0004,2024-01-21,56.71,Real
CL0004,2024-01-22,34.51,Real
CL0004,2024-01-23,53.46,Real
CL0004,2024-01-24,35.39,Real
CL0004,2024-01-25,61.25,Real
CL0004,2024-01-26,37.04,Real
CL0004,2024-01-27,52.47,Real
CL0004,2024-01-28,28.21,Real
CL0004,2024-01-29,45.65,Real
CL0004,2024-01-30,74.28,Real
CL0004,2024-01-31,47.2,Real
CL0004,2024-02-01,55.55,Real
CL0004,2024-02-02,44.89,Real
CL0004,2024-02-03,60.01,Real
CL0004,2024-02-04,35.97,Estimada
CL0004,2024-02-05,53.45,Real
CL0004,2024-02-06,91.43,Real
CL0004,2024-02-07,38.89,Real
CL0004,2024-02-08,53.31,Real
CL0004,2024-02-09,45.83,Real
CL0004,2024-02-10,37.87,Real
CL0004,2024-02-11,50.1,Real
CL0004,2024-02-12,44.71,Real
CL0004,2024-02-13,53.16,Real
CL0004,2024-02-14,31.3,Real
CL0004,2024-02-15,77.73,Real
CL0004,2024-02-16,42.73,Real
CL0004,2024-02-17,48.68,Real
CL0004,2024-02-18,43.39,Real
CL0004,2024-02-19,63.59,Real
CL0004,2024-02-20,73.86,Estimada
CL0004,2024-02-21,16.07,Real
CL0004,2024-02-22,41.52,Real
CL0004,2024-02-23,71.82,Estimada
CL0004,2024-02-24,46.36,Real
CL0004,2024-02-25,48.46,Real
CL0004,2024-02-26,55.43,Real
CL0004,2024-02-27,45.86,Real
CL0004,2024-02-28,37.36,Real
CL0004,2024-02-29,46.08,Real
CL0004,2024-03-01,37.95,Real
CL0004,2024-03-02,34.56,Real
CL0004,2024-03-03,18.51,Real
CL0004,2024-03-04,76.95,Real
CL0004,2024-03-05,41.14,Real
CL0004,2024-03-06,39.24,Real
CL0004,2024-03-07,48.75,Real
CL0004,2024-03-08,52.26,Real
CL0004,2024-03-09,26.42,Real
CL0004,2024-03-10,55.09,Estimada
CL0004,2024-03-11,56.23,Real
CL0004,2024-03-12,79.17,Real
CL0004,2024-03-13,18.86,Estimada
CL0004,2024-03-14,53.76,Real
CL0004,2024-03-15,19.43,Real
CL0004,2024-03-16,52.12,Real
CL0004,2024-03-17,40.87,Real
CL0004,2024-03-18,42.23,Real
CL0004,2024-03-19,57.28,Real
CL0004,2024-03-20,51.23,Real
CL0004,2024-03-21,27.96,Real
CL0004,2024-03-22,46.35,Real
CL0004,2024-03-23,33.65,Real
CL0004,2024-03-24,24.45,Real
CL0004,2024-03-25,25.4,Real
CL0004,2024-03-26,55.86,Real
CL0004,2024-03-27,57.35,Real
CL0004,2024-03-28,43.42,Real
CL0004,2024-03-29,57.05,Real
CL0004,2024-03-30,45.33,Real
CL0004,2024-03-31,42.43,Real
CL0004,2024-04-01,66.41,Real
CL0004,2024-04-02,48.3,Real
CL0004,2024-04-03,61.01,Real
CL0004,2024-04-04,49.95,Real
CL0004,2024-04-05,34.66,Real
CL0004,2024-04-06,41.5,Real
CL0004,2024-04-07,49.88,Real
CL0004,2024-04-08,52.82,Real
CL0004,2024-04-09,60.17,Real
CL0004,2024-04-10,55.2,Real
CL0004,2024-04-11,61.08,Estimada
CL0004,2024-04-12,74.2,Real
CL0004,2024-04-13,22.09,Real
CL0004,2024-04-14,48.43,Real
CL0004,2024-04-15,51.27,Real
CL0004,2024-04-16,30.36,Real
CL0004,2024-04-17,65.35,Real
CL0004,2024-04-18,50.56,Real
CL0004,2024-04-19,59.71,Real
CL0004,2024-04-20,55.48,Real
CL0004,2024-04-21,64.05,Real
CL0004,2024-04-22,61.37,Estimada
CL0004,2024-04-23,51.07,Real
CL0004,2024-04-24,56.42,Real
CL0004,2024-04-25,70.98,Real
CL0004,2024-04-26,68.9,Real
CL0004,2024-04-27,33.88,Real
CL0004,2024-04-28,40.67,Real
CL0004,2024-04-29,95.3,Real
CL0004,2024-04-30,63.5,Real
CL0004,2024-05-01,67.06,Real
CL0004,2024-05-02,56.54,Real
CL0004,2024-05-03,65.54,Estimada
CL0004,2024-05-04,30.89,Real
CL0004,2024-05-05,38.89,Real
CL0004,2024-05-06,83.54,Real
CL0004,2024-05-07,59.84,Estimada
CL0004,2024-05-08,61.35,Real
CL0004,2024-05-09,54.05,Real
CL0004,2024-05-10,56.54,Real
CL0004,2024-05-11,60.16,Real
CL0004,2024-05-12,35.6,Real
CL0004,2024-05-13,60.05,Real
CL0004,2024-05-14,50.76,Real
CL0004,2024-05-15,68.05,Real
CL0004,2024-05-16,66.7,Real
CL0004,2024-05-17,61.62,Real
CL0004,2024-05-18,30.3,Real
CL0004,2024-05-19,72.85,Real
CL0004,2024-05-20,50.59,Real
CL0004,2024-05-21,39.5,Real
CL0004,2024-05-22,75.14,Real
CL0004,2024-05-23,77.86,Real
CL0004,2024-05-24,68.49,Real
CL0004,2024-05-25,53.56,Real
CL0004,2024-05-26,22.61,Real
CL0004,2024-05-27,55.33,Real
CL0004,2024-05-28,30.14,Real
CL0004,2024-05-29,64.16,Real
CL0004,2024-05-30,86.56,Real
CL0004,2024-05-31,44.41,Real
CL0004,2024-06-01,60.66,Real
CL0004,2024-06-02,44.13,Real
CL0004,2024-06-03,67.8,Real
CL0004,2024-06-04,88.51,Estimada
CL0004,2024-06-05,85.82,Real
CL0004,2024-06-06,57.05,Real
CL0004,2024-06-07,89.57,Real
CL0004,2024-06-08,66.98,Real
CL0004,2024-06-09,54.58,Real
CL0004,2024-06-10,67.08,Real
CL0004,2024-06-11,109.38,Real
CL0004,2024-06-12,88.48,Real
CL0004,2024-06-13,88.47,Real
CL0004,2024-06-14,69.29,Real
CL0004,2024-06-15,73.4,Estimada
CL0004,2024-06-16,60.49,Real
CL0004,2024-06-17,98.07,Real
CL0004,2024-06-18,87.74,Estimada
CL0004,2024-06-19,51.38,Estimada
CL0004,2024-06-20,59.22,Real
CL0004,2024-06-21,59.91,Real
CL0004,2024-06-22,52.5,Real
CL0004,2024-06-23,51.41,Real
CL0004,2024-06-24,80.99,Real
CL0004,2024-06-25,57.28,Real
CL0004,2024-06-26,91.49,Real
CL0004,2024-06-27,77.37,Real
CL0004,2024-06-28,82.11,Real
CL0005,2024-01-01,6.7,Real
CL0005,2024-01-02,4.94,Real
CL0005,2024-01-03,6.29,Estimada
CL0005,2024-01-04,6.25,Real
CL0005,2024-01-05,6.01,Real
CL0005,2024-01-06,9.79,Real
