id_cliente,nombre,tipo_cliente,potencia_contratada,sector,tarifa,zona_riesgo,fecha_alta
CL0027,Cliente_27,Comercial,11.1,Sur,T3,False,2022-11-23
CL0028,Cliente_28,Comercial,22.3,Este,T4,False,2022-09-09
CL0029,Cliente_29,Residencial,9.1,Norte,T1,False,2022-08-15
CL0030,Cliente_30,Comercial,15.7,Sur,T4,False,2022-07-24
CL0031,Cliente_31,Residencial,7.3,Este,T4,False,2022-02-24
CL0032,Cliente_32,Comercial,11.5,Centro,T2,False,2021-03-07
CL0033,Cliente_33,Residencial,6.9,Este,T2,False,2021-06-03
CL0034,Cliente_34,Comercial,24.7,Norte,T4,False,2021-03-14
CL0035,Cliente_35,Industrial,40.8,Norte,T3,False,2021-03-14
CL0036,Cliente_36,Residencial,6.3,Centro,T1,False,2022-04-26
CL0037,Cliente_37,Restaurante,39.2,Centro,T2,False,2022-09-03
CL0038,Cliente_38,Residencial,9.2,Centro,T2,False,2021-06-21
CL0039,Cliente_39,Residencial,8.0,Oeste,T4,False,2021-05-10
CL0040,Cliente_40,Residencial,3.6,Sur,T1,False,2022-09-25
CL0041,Cliente_41,Residencial,4.2,Sur,T1,False,2021-01-06
CL0042,Cliente_42,Residencial,3.1,Sur,T2,False,2022-06-14
CL0043,Cliente_43,Residencial,7.9,Sur,T4,False,2022-05-05
CL0044,Cliente_44,Residencial,6.4,Norte,T1,False,2022-06-10
CL0045,Cliente_45,Residencial,4.1,Centro,T2,False,2022-08-26
CL0046,Cliente_46,Residencial,7.0,Centro,T1,False,2022-09-13
CL0047,Cliente_47,Residencial,7.3,Oeste,T1,False,2022-10-17
CL0048,Cliente_48,Residencial,7.7,Sur,T2,False,2022-04-21
CL0049,Cliente_49,Residencial,5.3,Oeste,T2,False,2021-10-15
CL0050,Cliente_50,Comercial,25.2,Este,T2,False,2021-02-28
CL0051,Cliente_51,Residencial,9.5,Oeste,T3,False,2021-10-09
CL0052,Cliente_52,Residencial,3.5,Este,T2,False,2022-12-13
CL0053,Cliente_53,Residencial,4.1,Centro,T4,False,2022-03-04
CL0054,Cliente_54,Restaurante,25.4,Sur,T4,False,2022-04-16
CL0055,Cliente_55,Residencial,4.1,Centro,T1,False,2021-06-16
CL0056,Cliente_56,Fabrica,110.4,Centro,T4,False,2022-08-07
CL0057,Cliente_57,Residencial,5.9,Centro,T4,False,2022-04-11
CL0058,Cliente_58,Residencial,5.5,Norte,T4,False,2022-07-26
CL0059,Cliente_59,Residencial,6.0,Centro,T1,False,2022-07-06
CL0060,Cliente_60,Residencial,6.7,Este,T1,False,2022-09-03
CL0061,Cliente_61,Residencial,3.7,Centro,T1,False,2022-03-14
CL0062,Cliente_62,Residencial,9.0,Sur,T2,False,2022-07-29
CL0063,Cliente_63,Comercial,12.3,Norte,T2,False,2021-06-26
CL0064,Cliente_64,Industrial,79.4,Este,T4,False,2022-03-28
CL0065,Cliente_65,Residencial,3.5,Centro,T4,False,2022-11-17
CL0066,Cliente_66,Residencial,9.3,Este,T1,False,2022-10-01
CL0067,Cliente_67,Restaurante,24.4,Este,T1,False,2022-02-21
CL0068,Cliente_68,Residencial,8.2,Este,T1,False,2021-05-10
CL0069,Cliente_69,Residencial,3.1,Este,T4,False,2021-05-02
CL0070,Cliente_70,Residencial,8.8,Oeste,T4,False,2021-03-30
CL0071,Cliente_71,Comercial,21.3,Centro,T3,False,2022-08-06
CL0072,Cliente_72,Residencial,6.5,Este,T4,False,2022-09-30
CL0073,Cliente_73,Residencial,7.3,Norte,T3,False,2022-05-26
CL0074,Cliente_74,Comercial,29.5,Oeste,T3,False,2021-06-29
CL0075,Cliente_75,Fabrica,174.8,Oeste,T1,False,2022-11-28
CL0076,Cliente_76,Comercial,26.6,Sur,T1,False,2022-12-27
CL0077,Cliente_77,Industrial,95.6,Centro,T2,False,2022-08-06
CL0078,Cliente_78,Residencial,6.0,Centro,T4,False,2021-11-01
CL0079,Cliente_79,Residencial,3.0,Norte,T3,False,2021-08-08
CL0080,Cliente_80,Residencial,5.0,Oeste,T1,False,2021-03-09
CL0081,Cliente_81,Industrial,89.3,Norte,T1,False,2022-07-07
CL0082,Cliente_82,Residencial,8.6,Oeste,T4,False,2021-08-09
CL0083,Cliente_83,Comercial,17.6,Oeste,T1,False,2022-06-06
CL0084,Cliente_84,Residencial,4.1,Sur,T1,False,2021-12-09
CL0085,Cliente_85,Comercial,11.4,Oeste,T3,False,2022-03-28
CL0086,Cliente_86,Residencial,7.6,Oeste,T3,False,2022-07-26
CL0087,Cliente_87,Residencial,5.3,Oeste,T1,False,2022-12-28
CL0088,Cliente_88,Residencial,6.6,Este,T3,False,2021-03-12
CL0089,Cliente_89,Residencial,10.0,Centro,T1,False,2021-08-22
CL0090,Cliente_90,Residencial,8.1,Oeste,T3,False,2022-06-21
CL0091,Cliente_91,Residencial,3.2,Oeste,T1,False,2022-07-20
CL0092,Cliente_92,Residencial,8.0,Sur,T3,False,2021-12-04
CL0093,Cliente_93,Residencial,7.7,Norte,T4,False,2022-02-26
CL0094,Cliente_94,Restaurante,39.2,Centro,T1,False,2022-06-20
CL0095,Cliente_95,Comercial,20.0,Este,T3,False,2021-08-03
CL0096,Cliente_96,Comercial,25.3,Centro,T1,False,2021-01-29
CL0097,Cliente_97,Industrial,37.0,Sur,T2,False,2022-05-18
CL0098,Cliente_98,Comercial,24.5,Norte,T4,False,2022-09-06
CL0099,Cliente_99,Comercial,29.9,Norte,T3,False,2022-08-05
CL0100,Cliente_100,Comercial,20.4,Centro,T4,False,2022-04-13
CL0101,Cliente_101,Residencial,8.5,Sur,T3,False,2021-04-27
CL0102,Cliente_102,Residencial,5.9,Oeste,T1,False,2022-07-26
CL0103,Cliente_103,Residencial,9.0,Oeste,T2,False,2022-02-22
CL0104,Cliente_104,Residencial,4.1,Norte,T3,False,2021-11-05
CL0105,Cliente_105,Residencial,4.5,Sur,T1,False,2021-10-23
CL0106,Cliente_106,Residencial,8.3,Este,T4,False,2021-06-03
CL0107,Cliente_107,Residencial,8.8,Oeste,T2,False,2021-02-02
CL0108,Cliente_108,Industrial,78.1,Este,T4,False,2022-09-11
CL0109,Cliente_109,Comercial,24.6,Este,T4,False,2022-03-09
CL0110,Cliente_110,Residencial,9.2,Sur,T1,False,2022-03-18
CL0111,Cliente_111,Residencial,7.4,Sur,T3,False,2021-01-10
CL0112,Cliente_112,Residencial,8.6,Este,T1,False,2022-06-29
CL0113,Cliente_113,Residencial,3.8,Sur,T2,False,2022-06-11
CL0114,Cliente_114,Restaurante,33.7,Centro,T2,False,2021-06-30
CL0115,Cliente_115,Residencial,3.2,Oeste,T2,False,2021-12-31
CL0116,Cliente_116,Comercial,20.7,Este,T2,False,2021-12-02
CL0117,Cliente_117,Residencial,7.1,Oeste,T4,False,2021-01-23
CL0118,Cliente_118,Residencial,5.9,Centro,T2,False,2021-03-20
CL0119,Cliente_119,Residencial,6.9,Centro,T3,False,2021-03-09
CL0120,Cliente_120,Residencial,3.9,Este,T1,False,2021-08-26
